company_id,from_pattern,to_pattern,year
SBIN,Mixed,Reinvestor,Mar 2022
SBIN,Reinvestor,Growth Funded by Debt,Mar 2023
SBIN,Growth Funded by Debt,Reinvestor,Mar 2024
SHREECEM,Reinvestor,Mixed,Mar 2018
SHREECEM,Mixed,Reinvestor,Mar 2019
SHREECEM,Reinvestor,Mixed,Mar 2020
SHREECEM,Mixed,Reinvestor,Mar 2021
SHRIRAMFIN,Growth Funded by Debt,Distress Signal,Mar 2018
SHRIRAMFIN,Distress Signal,Growth Funded by Debt,Mar 2019
SHRIRAMFIN,Growth Funded by Debt,Distress Signal,Mar 2023
SHRIRAMFIN,Distress Signal,Growth Funded by Debt,Mar 2024
SIEMENS,Liquidating Assets,Reinvestor,Sep 2018
SIEMENS,Reinvestor,Liquidating Assets,Sep 2020
SIEMENS,Liquidating Assets,Reinvestor,Sep 2021
SUNPHARMA,Reinvestor,Mixed,Mar 2014
SUNPHARMA,Mixed,Reinvestor,Mar 2015
SUNPHARMA,Reinvestor,Liquidating Assets,Mar 2021
SUNPHARMA,Liquidating Assets,Reinvestor,Mar 2022
SUNPHARMA,Reinvestor,Mixed,Mar 2023
SUNPHARMA,Mixed,Reinvestor,Mar 2024
TATACONSUM,Cash Accumulator,Reinvestor,Mar 2014
TATACONSUM,Reinvestor,Liquidating Assets,Mar 2016
TATACONSUM,Liquidating Assets,Reinvestor,Mar 2018
TATACONSUM,Reinvestor,Liquidating Assets,Mar 2019
TATACONSUM,Liquidating Assets,Reinvestor,Mar 2020
TATACONSUM,Reinvestor,Mixed,Mar 2024
TATAMOTORS,Reinvestor,Mixed,Mar 2015
TATAMOTORS,Mixed,Reinvestor,Mar 2016
TATAMOTORS,Reinvestor,Mixed,Mar 2017
TATAMOTORS,Mixed,Reinvestor,Mar 2022
TATAPOWER,Reinvestor,Mixed,Mar 2017
TATAPOWER,Mixed,Reinvestor,Mar 2018
TATAPOWER,Reinvestor,Liquidating Assets,Mar 2021
TATAPOWER,Liquidating Assets,Reinvestor,Mar 2022
TATAPOWER,Reinvestor,Mixed,Mar 2023
TATAPOWER,Mixed,Reinvestor,Mar 2024
TATASTEEL,Reinvestor,Mixed,Mar 2014
TATASTEEL,Mixed,Reinvestor,Mar 2015
TATASTEEL,Reinvestor,Mixed,Mar 2018
TATASTEEL,Mixed,Reinvestor,Mar 2019
TCS,Reinvestor,Liquidating Assets,Mar 2018
TCS,Liquidating Assets,Reinvestor,Mar 2021
TCS,Reinvestor,Liquidating Assets,Mar 2023
TCS,Liquidating Assets,Reinvestor,Mar-13
TCS,Reinvestor,Liquidating Assets,Mar-18
TCS,Liquidating Assets,Reinvestor,Mar-21
TCS,Reinvestor,Liquidating Assets,Mar-23
TECHM,Mixed,Liquidating Assets,Mar 2014
TECHM,Liquidating Assets,Reinvestor,Mar 2015
TECHM,Reinvestor,Liquidating Assets,Mar 2020
TECHM,Liquidating Assets,Reinvestor,Mar 2021
TECHM,Reinvestor,Liquidating Assets,Mar 2022
TECHM,Liquidating Assets,Reinvestor,Mar 2023
TITAN,Reinvestor,Growth Funded by Debt,Mar 2014
TITAN,Growth Funded by Debt,Reinvestor,Mar 2015
TITAN,Reinvestor,Unknown,Mar 2018
TITAN,Unknown,Reinvestor,Mar 2019
TITAN,Reinvestor,Unknown,Mar 2020
TITAN,Unknown,Reinvestor,Mar 2021
TITAN,Reinvestor,Unknown,Mar 2022
TITAN,Unknown,Mixed,Mar 2023
TITAN,Mixed,Reinvestor,Mar 2024
TORNTPHARM,Mixed,Reinvestor,Mar 2016
TORNTPHARM,Reinvestor,Mixed,Mar 2018
TORNTPHARM,Mixed,Reinvestor,Mar 2019
TORNTPHARM,Reinvestor,Liquidating Assets,Mar 2020
TORNTPHARM,Liquidating Assets,Reinvestor,Mar 2021
TORNTPHARM,Reinvestor,Mixed,Mar 2023
TORNTPHARM,Mixed,Reinvestor,Mar 2024
TRENT,Mixed,Pre-Revenue,Mar 2014
TRENT,Pre-Revenue,Growth Funded by Debt,Mar 2015
TRENT,Growth Funded by Debt,Reinvestor,Mar 2016
TRENT,Reinvestor,Mixed,Mar 2019
TRENT,Mixed,Liquidating Assets,Mar 2021
TRENT,Liquidating Assets,Reinvestor,Mar 2023
TVSMOTOR,Reinvestor,Mixed,Mar 2015
TVSMOTOR,Mixed,Reinvestor,Mar 2016
TVSMOTOR,Reinvestor,Mixed,Mar 2018
TVSMOTOR,Mixed,Growth Funded by Debt,Mar 2019
TVSMOTOR,Growth Funded by Debt,Mixed,Mar 2020
TVSMOTOR,Mixed,Growth Funded by Debt,Mar 2022
ULTRACEMCO,Mixed,Reinvestor,Mar 2014
ULTRACEMCO,Reinvestor,Liquidating Assets,Mar 2018
ULTRACEMCO,Liquidating Assets,Reinvestor,Mar 2020
ULTRACEMCO,Reinvestor,Liquidating Assets,Mar 2022
ULTRACEMCO,Liquidating Assets,Reinvestor,Mar 2023
UNIONBANK,Growth Funded by Debt,Mixed,Mar 2014
UNIONBANK,Mixed,Growth Funded by Debt,Mar 2015
UNIONBANK,Growth Funded by Debt,Reinvestor,Mar 2016
UNIONBANK,Reinvestor,Growth Funded by Debt,Mar 2017
UNIONBANK,Growth Funded by Debt,Mixed,Mar 2018
UNIONBANK,Mixed,Growth Funded by Debt,Mar 2019
UNIONBANK,Growth Funded by Debt,Reinvestor,Mar 2021
UNITDSPR,Reinvestor,Growth Funded by Debt,Mar 2014
UNITDSPR,Growth Funded by Debt,Unknown,Mar 2015
UNITDSPR,Unknown,Liquidating Assets,Mar 2016
UNITDSPR,Liquidating Assets,Reinvestor,Mar 2017
UNITDSPR,Reinvestor,Liquidating Assets,Mar 2018
UNITDSPR,Liquidating Assets,Reinvestor,Mar 2019
UNITDSPR,Reinvestor,Liquidating Assets,Mar 2024
VBL,Mixed,Reinvestor,Dec 2015
VBL,Reinvestor,Mixed,Dec 2016
VBL,Mixed,Reinvestor,Dec 2018
VBL,Reinvestor,Mixed,Dec 2019
VBL,Mixed,Reinvestor,Dec 2020
VBL,Reinvestor,Mixed,Dec 2023
VEDL,Mixed,Reinvestor,Mar 2014
VEDL,Reinvestor,Liquidating Assets,Mar 2017
VEDL,Liquidating Assets,Reinvestor,Mar 2019
WIPRO,Reinvestor,Liquidating Assets,Mar 2018
WIPRO,Liquidating Assets,Mixed,Mar 2022
WIPRO,Mixed,Reinvestor,Mar 2023
WIPRO,Reinvestor,Liquidating Assets,Mar 2024
ZOMATO,Distress Signal,Growth Funded by Debt,Mar 2021
ZOMATO,Growth Funded by Debt,Unknown,Mar 2023
ZOMATO,Unknown,Reinvestor,Mar 2024
ZYDUSLIFE,Mixed,Reinvestor,Mar 2014
ZYDUSLIFE,Reinvestor,Mixed,Mar 2017
ZYDUSLIFE,Mixed,Reinvestor,Mar 2020
ZYDUSLIFE,Reinvestor,Liquidating Assets,Mar 2023
ZYDUSLIFE,Liquidating Assets,Reinvestor,Mar 2024
